left_input,right_input,time,delta_time
5.918665,5.918665,1304304730.499258,0.050514
5.601234,5.825284,1304304730.559886,0.060629
5.721173,5.721173,1304304730.610384,0.050497
5.627533,5.517190,1304304730.670719,0.060336
5.803959,5.576353,1304304730.731279,0.060560
5.634613,5.747305,1304304730.781644,0.050365
5.611858,5.499621,1304304730.842170,0.060525
5.684267,5.321441,1304304730.892550,0.050380
5.702337,5.590527,1304304730.942742,0.050193
5.574660,5.797647,1304304731.003111,0.060369
5.701627,5.805293,1304304731.063730,0.060618
5.945040,5.720699,1304304731.124228,0.060499
5.896070,5.669298,1304304731.174616,0.050388
6.523618,6.400531,1304304731.225013,0.050397
5.860327,5.759287,1304304731.285760,0.060747
6.373207,6.141454,1304304731.346449,0.060689
6.054499,6.054499,1304304731.396981,0.050532
5.902607,5.691800,1304304731.457377,0.060396
5.545977,5.915709,1304304731.528024,0.070647
6.650126,6.360991,1304304731.588670,0.060645
6.806068,6.690711,1304304731.649225,0.060555
5.531808,6.017055,1304304731.709623,0.060399
6.116424,6.014483,1304304731.770159,0.060535
6.870391,6.388258,1304304731.820685,0.050527
5.857445,6.082732,1304304731.881196,0.060510
5.815541,5.931852,1304304731.931669,0.050473
6.058739,5.954278,1304304731.992362,0.060693
5.673528,5.673528,1304304732.052991,0.060630
5.791439,5.889599,1304304732.113643,0.060652
6.317589,6.208665,1304304732.174006,0.060362
5.787604,6.023833,1304304732.224594,0.050589
6.115948,6.231343,1304304732.285092,0.060498
5.701999,5.494654,1304304732.345707,0.060615
6.370128,6.249937,1304304732.396176,0.050469
5.428224,5.880576,1304304732.446827,0.050651
5.949831,5.613048,1304304732.507619,0.060792
5.964913,5.964913,1304304732.568506,0.060886
5.913237,6.328201,1304304732.629041,0.060536
6.192908,5.940136,1304304732.679273,0.050232
6.024390,6.024390,1304304732.739779,0.060506
6.026103,6.253504,1304304732.790241,0.050461
5.869431,5.869431,1304304732.820549,0.030308
6.018339,6.018339,1304304732.911260,0.090712
5.675541,5.990849,1304304732.971828,0.060567
6.480200,5.921562,1304304733.022366,0.050538
6.306475,6.423261,1304304733.072881,0.050515
5.917503,5.809912,1304304733.133298,0.060418
6.190471,6.075832,1304304733.193790,0.060492
5.848673,5.959025,1304304733.244272,0.050481
